all_roi,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28
Posterior_corona_radiata,0,0,0,1,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0
Cingulum_(cingulate_gyrus),0,1,1,0,0,1,0,1,0,3,0,1,1,2,2,2,1,4,1,0,2,2,3,0,0,0,0
Cingulum_(hippocampus),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
Fornix(cres)_Stria_terminalis,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0
Superior_longitudinal_fasciculus,0,2,2,0,0,1,1,0,0,1,1,0,1,2,0,2,1,1,0,0,1,1,0,4,0,0,0
Superior_fronto-occipital_fasciculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Inferior_fronto-occipital_fasciculus,3,2,2,0,2,1,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Sagittal_stratum,2,2,2,0,1,5,2,1,2,0,0,4,7,1,2,3,0,7,4,1,1,1,4,4,0,7,7
External_capsule,3,2,2,0,3,1,1,4,2,2,1,3,6,0,3,3,3,3,2,4,0,0,0,2,0,1,1
Uncinate_fasciculus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pontine_crossing_tract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle_cerebellar_peduncle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fornix_(column_and_body),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genu_of_corpus_callosum,1,0,0,0,1,0,0,1,1,6,0,2,0,1,4,1,1,5,2,0,2,2,1,0,0,0,0
Body_of_corpus_callosum,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,2,0,1,2,2,4,0,0,0,0
Splenium_of_corpus_callosum,0,0,0,3,0,0,0,0,0,2,0,3,0,2,1,0,0,3,0,0,0,0,1,1,0,0,0
Retrolenticular_part_of_internal_capsule,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Red_Nucleus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Substancia_Nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tapatum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
CAUDATE_NUCLEUS,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0
PUTAMEN,4,6,5,0,0,0,1,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
THALAMUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
GLOBUS_PALLIDUS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIDBRAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDULLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUPERIOR_PARIETAL_WM,0,0,0,0,3,2,0,2,3,0,0,6,0,0,3,1,4,0,0,0,0,0,0,1,0,0,0
Cingulum_WM,0,0,0,1,2,0,0,1,1,2,1,2,0,0,2,2,0,0,0,0,2,2,1,3,0,0,0
SUPERIOR_FRONTAL_WM,13,0,0,2,0,0,0,8,3,1,4,3,9,10,13,8,0,13,1,2,10,10,0,0,0,0,0
MIDDLE_FRONTAL_WM,4,0,0,7,3,2,2,5,12,6,1,7,9,9,2,10,11,14,15,0,15,15,2,0,0,0,0
INFERIOR_FRONTAL_WM,4,4,4,8,8,0,0,5,6,8,5,2,3,6,8,3,8,9,6,0,7,7,7,0,4,2,2
PRECENTRAL_WM,0,0,0,0,0,3,2,1,5,11,16,6,3,1,2,1,0,1,1,1,5,5,5,1,0,0,0
POSTCENTRAL_WM,0,1,1,0,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0,3,3,0,0,0,0,0
ANGULAR_WM,0,0,0,3,0,1,1,3,0,2,7,5,0,0,3,1,1,3,0,2,0,0,0,7,0,0,0
PRE-CUNEUS_WM,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNEUS_WM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINGUAL_WM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
FUSIFORM_WM,2,4,3,0,2,2,0,2,0,1,0,1,2,0,2,1,6,0,0,3,1,1,2,0,1,0,0
SUPERIOR_OCCIPITAL_WM,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFERIOR_OCCIPITAL_WM,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIDDLE_OCCIPITAL_WM,0,3,3,0,2,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
SUPERIOR_TEMPORAL_WM,0,0,0,3,0,1,0,0,0,0,0,2,3,0,2,1,0,3,5,7,1,1,0,6,0,5,5
INFERIOR_TEMPORAL_WM,11,2,2,5,0,3,4,3,0,2,0,1,10,0,6,0,6,3,2,6,2,2,7,3,1,8,8
MIDDLE_TEMPORAL_WM,1,2,2,4,4,10,2,0,5,1,0,4,4,12,7,2,4,17,9,4,3,3,5,19,1,9,9
LATERAL_FRONTO-ORBITAL_WM,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIDDLE_FRONTO-ORBITAL_WM,0,0,0,1,1,0,0,1,0,2,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0
SUPRAMARGINAL_WM,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0
RECTUS_WM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
CEREBELLUM_WM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
